Source_Name,Sub_Class,Predicted_Macro_Class,Confidence,Prob_AGN,Prob_Binary,Prob_Galactic,Prob_Galaxy,Prob_Pulsar,Final_Class
4FGL J0021.7+4533,unass,AGN,0.895,0.895,0.0,0.035,0.01,0.06,predicted_bcu
4FGL J2237.6-5126,unass,AGN,0.895,0.895,0.065,0.03,0.0,0.01,predicted_fsrq
4FGL J1129.1-5230,unass,AGN,0.895,0.895,0.065,0.025,0.005,0.01,predicted_bll
4FGL J1123.8-4552,unass,AGN,0.8941,0.8941,0.025,0.0101,0.0608,0.01,predicted_bcu
4FGL J0453.3+2843,unass,AGN,0.8904,0.8904,0.0746,0.015,0.0,0.02,predicted_fsrq
4FGL J2309.0+5425,unk,AGN,0.89,0.89,0.0,0.07,0.03,0.01,predicted_bll
4FGL J1109.4-6115e,unass,Galactic,0.89,0.08,0.005,0.89,0.0,0.025,predicted_galactic
4FGL J0245.0+4755,unass,AGN,0.89,0.89,0.03,0.055,0.005,0.02,predicted_bcu
4FGL J0209.8+2626,unass,AGN,0.89,0.89,0.02,0.03,0.04,0.02,predicted_bcu
4FGL J1318.8+2534,unass,AGN,0.89,0.89,0.005,0.055,0.015,0.035,predicted_bcu
4FGL J1403.7+1513,unass,AGN,0.89,0.89,0.0,0.055,0.02,0.035,predicted_bll
4FGL J1428.4+0538,unass,AGN,0.89,0.89,0.005,0.035,0.02,0.05,predicted_bll
4FGL J1152.1-3553,unass,AGN,0.89,0.89,0.025,0.045,0.01,0.03,predicted_fsrq
4FGL J0502.2+3016,unass,AGN,0.89,0.89,0.005,0.08,0.02,0.005,predicted_bll
4FGL J2307.8-1655,unass,AGN,0.89,0.89,0.015,0.075,0.005,0.015,predicted_bcu
4FGL J1036.5-1809,unass,AGN,0.89,0.89,0.0,0.04,0.005,0.065,predicted_fsrq
4FGL J0550.3-6107,unass,AGN,0.89,0.89,0.01,0.045,0.035,0.02,predicted_bcu
4FGL J1706.8+1319,unass,AGN,0.89,0.89,0.01,0.045,0.0,0.055,predicted_fsrq
4FGL J2012.1-5234,unass,AGN,0.89,0.89,0.01,0.085,0.01,0.005,predicted_bll
4FGL J2024.0+3202,unk,AGN,0.89,0.89,0.01,0.06,0.01,0.03,predicted_bll
4FGL J0037.2-2653,unass,AGN,0.89,0.89,0.005,0.03,0.005,0.07,predicted_bcu
4FGL J0813.9+0124,unass,AGN,0.89,0.89,0.005,0.085,0.0,0.02,predicted_bcu
4FGL J0122.4-1509,unass,AGN,0.89,0.89,0.01,0.04,0.0,0.06,predicted_bll
4FGL J2006.0-6538,unass,AGN,0.89,0.89,0.0,0.025,0.085,0.0,predicted_bll
4FGL J2152.9-3930,unass,AGN,0.89,0.89,0.0,0.105,0.0,0.005,predicted_bll
4FGL J0649.6-4017,unass,AGN,0.8884,0.8884,0.0,0.025,0.0646,0.022,predicted_bll
4FGL J2337.7+1449c,unass,AGN,0.8864,0.8864,0.005,0.0251,0.0685,0.015,predicted_bll
4FGL J0138.5+0300,unass,AGN,0.8861,0.8861,0.01,0.053,0.0299,0.021,predicted_bcu
4FGL J2021.2+4858,unk,AGN,0.8853,0.8853,0.005,0.0997,0.005,0.005,predicted_bll
